iter	Passed	Remaining
0	27	83896
1	43	65912
2	62	62496
3	82	61695
4	99	59591
5	116	58020
6	132	56706
7	147	55276
8	164	54514
9	181	54207
10	202	54946
11	218	54331
12	234	53936
13	249	53319
14	266	53008
15	288	53863
16	307	53936
17	323	53596
18	338	53060
19	354	52843
20	370	52553
21	385	52155
22	399	51765
23	413	51323
24	427	50916
25	441	50538
26	455	50180
27	469	49882
28	483	49572
29	497	49289
30	511	49009
31	525	48713
32	538	48437
33	551	48150
34	568	48191
35	584	48138
36	598	47955
37	614	47932
38	629	47772
39	642	47575
40	656	47402
41	670	47198
42	684	47075
43	698	46910
44	712	46755
45	725	46591
46	738	46428
47	753	46320
48	768	46255
49	782	46156
50	796	46031
51	810	45921
52	824	45840
53	838	45744
54	853	45676
55	867	45592
56	883	45636
57	899	45628
58	915	45610
59	929	45540
60	943	45466
61	957	45371
62	972	45332
63	986	45258
64	1001	45208
65	1016	45167
66	1030	45094
67	1044	45033
68	1058	44945
69	1073	44926
70	1088	44892
71	1104	44931
72	1120	44907
73	1135	44883
74	1149	44813
75	1164	44805
76	1180	44830
77	1196	44808
78	1212	44827
79	1227	44821
80	1244	44844
81	1259	44834
82	1275	44810
83	1291	44827
84	1306	44804
85	1321	44760
86	1334	44690
87	1348	44622
88	1363	44600
89	1377	44549
90	1394	44572
91	1408	44522
92	1423	44482
93	1439	44494
94	1454	44487
95	1479	44755
96	1498	44839
97	1515	44871
98	1531	44877
99	1563	45349
100	1579	45323
101	1595	45320
102	1611	45321
103	1625	45257
104	1640	45222
105	1655	45202
106	1672	45221
107	1691	45289
108	1706	45273
109	1722	45241
110	1736	45192
111	1750	45140
112	1764	45083
113	1778	45031
114	1793	44986
115	1807	44945
116	1822	44910
117	1836	44850
118	1850	44794
119	1863	44727
120	1877	44666
121	1891	44623
122	1906	44584
123	1920	44533
124	1934	44502
125	1949	44469
126	1968	44523
127	1985	44559
128	2002	44558
129	2016	44512
130	2029	44452
131	2043	44388
132	2056	44332
133	2070	44282
134	2084	44239
135	2098	44191
136	2112	44147
137	2126	44103
138	2140	44051
139	2154	44010
140	2168	43963
141	2182	43922
142	2195	43870
143	2206	43758
144	2220	43719
145	2233	43669
146	2247	43623
147	2262	43589
148	2277	43575
149	2290	43524
150	2305	43504
151	2319	43459
152	2333	43415
153	2347	43380
154	2361	43338
155	2374	43293
156	2388	43256
157	2403	43235
158	2417	43193
159	2432	43180
160	2446	43132
161	2459	43088
162	2472	43040
163	2486	43000
164	2499	42942
165	2512	42897
166	2526	42860
167	2540	42820
